Day,Room,Teacher(ID)
1,101,SS(79)
1,102,SC(95)
1,103,PM(57)
1,104,SB(81)
1,105,GH(31)
1,106,JP(37)
1,107,NM(52)
1,108,IH(34)
1,109,MB(43)
1,110,SDB(102)
1,201,IS(33)
1,202,RSG(62)
1,203,KT(38)
1,204,PS(56)
1,205,SS(78)
1,206,IB(35)
1,207,PM(54)
1,208,SC(97)
1,209,TR(103)
1,210,AC(8)
1,303,SS(88)
2,101,SS(71)
2,102,DDD(20)
2,103,AR(2)
2,104,FFO(27)
2,105,SD(85)
2,109,SP(98)
2,110,MC(42)
2,202,PG(59)
2,203,RC(67)
2,206,SA(96)
2,208,NM(53)
2,209,GM(30)
2,210,DK(22)
2,301,SS(100)
2,302,RB(69)
2,303,NKB(50)
3,101,MM(49)
3,102,SA(80)
3,104,CSB(19)
3,105,RSS(64)
3,106,RM(63)
3,108,SMS(92)
3,109,PA(60)
3,110,DM(25)
3,201,SG(74)
3,202,PM(57)
3,205,MM(48)
3,206,AM(4)
3,207,DD(26)
3,209,AKD(16)
3,210,SM(86)
3,302,ASG(1)
3,303,RGB(68)
4,101,PG(59)
4,102,SC(97)
4,103,SS(91)
4,105,SS(71)
4,106,MG(45)
4,109,IS(33)
4,110,GC(29)
4,201,AR(12)
4,202,SS(101)
4,203,RB(69)
4,206,DDD(20)
4,207,SG(94)
4,208,HN(32)
4,209,KC(41)
4,301,MC(47)
4,303,JP(37)
5,101,AC(9)
5,102,MC(42)
5,104,NM(53)
5,105,AM(7)
5,106,GG(28)
5,107,DM(25)
5,109,SG(87)
5,202,SDB(102)
5,203,AR(2)
5,204,CSB(19)
5,205,SD(99)
5,207,SS(100)
5,208,AS(13)
5,210,GM(30)
5,303,PM(54)
6,101,SMS(92)
6,102,PM(57)
6,103,HN(32)
6,105,SP(98)
6,107,KT(38)
6,110,SB(77)
6,201,SG(74)
6,203,AG(3)
6,204,IH(34)
6,206,AB(5)
6,208,PG(58)
6,210,SD(85)
6,303,SS(71)
7,101,SDB(102)
7,102,KH(39)
7,103,SA(80)
7,104,SS(88)
7,105,MDS(44)
7,106,RGB(68)
7,107,DD(26)
7,108,AKD(16)
7,109,SG(94)
7,110,SM(86)
7,201,SG(83)
7,203,SC(95)
7,206,PG(59)
7,207,ADS(17)
7,208,DM(25)
7,209,SD(99)
7,210,BD(18)
7,301,KS(40)
7,302,RSS(64)
8,101,HN(32)
8,102,DK(22)
8,104,DDD(20)
8,106,SMS(92)
8,107,MM(48)
8,108,SS(101)
8,201,PG(58)
8,202,ASG(1)
8,203,FFO(27)
8,204,RSG(62)
8,205,SB(81)
8,206,KC(41)
8,207,ND(51)
8,209,SP(98)
8,301,SS(100)
8,302,PM(57)
